2026-05-19 19:22:40 | INFO     | database.operations | 文档已入库: ID=2, 名称=中 华 人 民 共 和 国 国 用 标 准
2026-05-19 19:22:40 | INFO     | document.chunker | 章节切分: 34个章节
2026-05-19 19:22:40 | INFO     | document.chunker | 文本分块完成: 60个块
2026-05-19 19:23:02 | INFO     | embeddings.embedder | 批量嵌入完成: 60个文本 → 60个向量
2026-05-19 19:23:02 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189694_HJB.docx
2026-05-19 19:23:02 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
2026-05-19 19:23:02 | INFO     | database.operations | 文档已入库: ID=3, 名称=舰船舰载软件质量监督通用要求
2026-05-19 19:23:02 | INFO     | document.chunker | 章节切分: 1个章节
2026-05-19 19:23:02 | INFO     | document.chunker | 文本分块完成: 4个块
2026-05-19 19:23:04 | INFO     | embeddings.embedder | 批量嵌入完成: 4个文本 → 4个向量
2026-05-19 19:23:04 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189661_GJB.docx
2026-05-19 19:23:04 | INFO     | document.cleaner | 文本清洗完成，长度: 3342 字符
2026-05-19 19:23:04 | INFO     | database.operations | 文档已入库: ID=4, 名称=军用软件质量监督要求
2026-05-19 19:23:04 | INFO     | document.chunker | 章节切分: 1个章节
2026-05-19 19:23:04 | INFO     | document.chunker | 文本分块完成: 5个块
2026-05-19 19:23:06 | INFO     | embeddings.embedder | 批量嵌入完成: 5个文本 → 5个向量
2026-05-19 19:23:06 | INFO     | document.parser | 检测到扫描版PDF (平均0字/页)，切换OCR
2026-05-19 19:23:31 | INFO     | document.parser | OCR完成: 24页, 38590字
2026-05-19 19:23:31 | INFO     | document.cleaner | 文本清洗完成，长度: 38202 字符
2026-05-19 19:23:31 | INFO     | database.operations | 文档已入库: ID=5, 名称=中 华 人 民 共 和 国 国 用 标 准
2026-05-19 19:23:31 | INFO     | document.chunker | 章节切分: 34个章节
2026-05-19 19:23:31 | INFO     | document.chunker | 文本分块完成: 60个块
2026-05-19 19:23:57 | INFO     | embeddings.embedder | 批量嵌入完成: 60个文本 → 60个向量
2026-05-19 19:23:58 | INFO     | document.parser | DOCX解析完成: D:\HJB\navy_rag\data\uploads\1779189694_HJB.docx
2026-05-19 19:23:58 | INFO     | document.cleaner | 文本清洗完成，长度: 2841 字符
2026-05-19 19:23:58 | INFO     | database.operations | 文档已入库: ID=6, 名称=舰船舰载软件质量监督通用要求
2026-05-19 19:23:58 | INFO     | document.chunker | 章节切分: 1个章节
2026-05-19 19:23:58 | INFO     | document.chunker | 文本分块完成: 4个块
